label	family	model	claim_line1	what_to_check	assigned	report
card-tools22-dog-nova-bus-the-cursor-r1	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r1 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r1/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r10	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r10 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r10/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r11	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r11 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r11/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r12	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r12 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r12/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r13	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r13 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r13/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r17	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r17 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r17/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r18	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r18 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r18/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r19	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r19 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r19/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r2	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r2 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r2/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r20	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r20 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r20/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r21	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r21 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r21/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r22	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-cursor-r22 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r22/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r23	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-cursor-r23 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r23/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r24	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r24 sha=5298f6be12ea	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r24/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r3	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r3 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r3/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r4	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r4 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r4/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r5	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r5 sha=5298f6be12ea	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r5/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r7	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-cursor-r7 sha=5298f6be12ea — read	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r7/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r8	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r8 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r8/RESULT.md
card-tools22-dog-nova-bus-the-cursor-r9	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-cursor-r9 sha=5298f6be12ea — read `nova-bus The cursor` against docs/CLI.md:522-527 and say CLEAN or DRIFT	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-cursor-r9/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r1	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r1 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and sa	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r1/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r11	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r11 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r11/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r12	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r12 sha=5298f6be12ea	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r12/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r13	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r13 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r13/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r14	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r14 sha=5298f6be12ea	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r14/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r15	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r15 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r15/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r16	tools22-dog	deepseek/deepseek-v4-flash	"""RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r16 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and "	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r16/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r17	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r17 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r17/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r18	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r18 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r18/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r19	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r19 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r19/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r2	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r2 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and sa	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r2/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r20	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r20 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r20/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r21	tools22-dog	mercury-2.5	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r21 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r21/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r23	tools22-dog	deepseek/deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r23 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r23/RESULT.md
card-tools22-dog-nova-bus-the-rule-this-tool-does-r24	tools22-dog	deepseek-v4-flash	RESULT tools22-dog-nova-bus-the-rule-this-tool-does-r24 sha=5298f6be12ea — read `nova-bus The rule this tool does not enforce` against docs/CLI.md:560-563 and s	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-bus-the-rule-this-tool-does-r24/RESULT.md
card-tools22-guard-0878987f-r3	tools22-guard	deepseek-v4-flash	RESULT tools22-guard-0878987f-r2 sha=5298f6be12ea — does a test guard dev commit 0878987f? (integration-16u: #1748 — batch and land refuse a held member, --lane	GUARD: revert the named dev commit locally, run the named test: GUARDED means red.	Stella	results/card-tools22-guard-0878987f-r3/RESULT.md
card-tools22-pre-1262-r5	tools22-pre	-	RESULT tools22-pre-1262-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1262 at head effb0335ab5b: CARD-9339 nova-tools tests never copy a built ex	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1262-r5/RESULT.md
card-tools22-pre-1265-r5	tools22-pre	-	RESULT tools22-pre-1265-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1265 at head 0ece2778e8b5: docs: preserve packet cores and bound capability	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1265-r5/RESULT.md
card-tools22-pre-1274-r3	tools22-pre	-	RESULT tools22-pre-1274-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1274 at head 32083a2b6b9a: CARD-9301 nova-tools slice 3 of SPEC-JOBS: Pull 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1274-r3/RESULT.md
card-tools22-pre-1340-r5	tools22-pre	-	RESULT tools22-pre-1340-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1340 at head a60b9f7b4eb6: docs: batches 4–6 (draft for Stella)	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1340-r5/RESULT.md
card-tools22-pre-1358-r3	tools22-pre	qwen/qwen3.7-flash	PREREAD 1358 claims=5 proven=4 unproven=1 defects=0 high=0	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1358-r3/RESULT.md
card-tools22-pre-1359-r3	tools22-pre	-	RESULT tools22-pre-1359-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1359 at head 660a9bf61775: events: batch, queue, react and fill emit into t	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1359-r3/RESULT.md
card-tools22-pre-1383-r5	tools22-pre	-	RESULT tools22-pre-1383-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1383 at head f8bb71ee5d21 — merge lane: dogfood round 5 — audit reads by de	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1383-r5/RESULT.md
card-tools22-pre-1406-r3	tools22-pre	-	"""RESULT tools22-pre-1406-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1406 at head ed0f13f702ee: certify: the six-hourly agent had nowhere to se"	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1406-r3/RESULT.md
card-tools22-pre-1412-r3	tools22-pre	-	RESULT tools22-pre-1412-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1412 at head b49fb99b52f8: ci: TestNoUncheckedFieldsIndex, the class behind	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1412-r3/RESULT.md
card-tools22-pre-1414-r3	tools22-pre	-	RESULT tools22-pre-1414-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1414 at head 2a95a1f145fa: internal/ci: every refusal line carries a remedy	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1414-r3/RESULT.md
card-tools22-pre-1416-r3	tools22-pre	-	RESULT tools22-pre-1416-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1416 at head f1ac5fddb09d: nova-pulse fill serves a darwin bench: the seams	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1416-r3/RESULT.md
card-tools22-pre-1423-r3	tools22-pre	-	RESULT tools22-pre-1423-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1423 at head ff550b351df3: release: cut and build run the dogfood gate firs	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1423-r3/RESULT.md
card-tools22-pre-1424-r3	tools22-pre	-	RESULT tools22-pre-1424-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1424 at head 5ed14cae3e7f: bus: --host, the Host header, and host= on the i	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1424-r3/RESULT.md
card-tools22-pre-1424-r5	tools22-pre	deepseek-v4-flash	RESULT tools22-pre-1424-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1424 at head 5ed14cae3e7f: bus: --host, the Host header, and host= on the i	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1424-r5/RESULT.md
card-tools22-pre-1425-r3	tools22-pre	-	RESULT tools22-pre-1425-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1425 at head 305f2a686bd9: docs: first-run transcripts for twenty verbs, an	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1425-r3/RESULT.md
card-tools22-pre-1427-r5	tools22-pre	-	RESULT tools22-pre-1427-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1427 at head ab12e1b2058c: pulse hygiene: --lane-dirs, the lane-clone sweep	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1427-r5/RESULT.md
card-tools22-pre-1430-r5	tools22-pre	-	RESULT tools22-pre-1430-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1430 at head f3e2426d0624: pulse: the card gate, the queue lock, and one ve	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1430-r5/RESULT.md
card-tools22-pre-1431-r3	tools22-pre	-	RESULT tools22-pre-1431-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1431 at head 7491b95f9372: tokens: fold --units, the units column, sum --by	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1431-r3/RESULT.md
card-tools22-pre-1433-r3	tools22-pre	-	RESULT tools22-pre-1433-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1433 at head 6be42131a2af: wake: one eager build for the package's test pro	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1433-r3/RESULT.md
card-tools22-pre-1438-r3	tools22-pre	-	RESULT tools22-pre-1438-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1438 at head 4e3ed0c1320b: nova-decide: the ladder inside First run, and a 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1438-r3/RESULT.md
card-tools22-pre-1439-r3	tools22-pre	-	RESULT tools22-pre-1439-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1439 at head a7881bd73685: certify: the M2 Air is a darwin bench, and a wor	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1439-r3/RESULT.md
card-tools22-pre-1443-r5	tools22-pre	-	RESULT tools22-pre-1443-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1443 at head bd305334c949: merge lane: the gate on a bench, the forge here 	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1443-r5/RESULT.md
card-tools22-pre-1475-r3	tools22-pre	-	RESULT tools22-pre-1475-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1475 at head ff6c60fadbaf: docs: make first-run setup explicit	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1475-r3/RESULT.md
card-tools22-pre-1478-r3	tools22-pre	-	RESULT tools22-pre-1478-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1478 at head 3c2bb6d8bb64: swarm: a gate that did not execute its command c	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1478-r3/RESULT.md
card-tools22-pre-1570-r3	tools22-pre	-	RESULT tools22-pre-1570-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1570 at head 861c57f675cf	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1570-r3/RESULT.md
card-tools22-pre-1570-r5	tools22-pre	-	RESULT tools22-pre-1570-r1 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1570 at head 861c57f675cf	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1570-r5/RESULT.md
card-tools22-pre-1589-r3	tools22-pre	-	RESULT tools22-pre-1589-r2 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1589 at head 9b129b293f14	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1589-r3/RESULT.md
card-tools22-pre-1590-r3	tools22-pre	-	RESULT tools22-pre-1590-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1590 at head 7a977fdf0b15: nova-work #854 item 7, slice 5a: the `report` ve	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1590-r3/RESULT.md
card-tools22-pre-1590-r5	tools22-pre	-	RESULT tools22-pre-1590-r4 sha=5298f6be12ea — a pre-read of mas-bandwidth/nova-tools#1590 at head 7a977fdf0b15: nova-work #854 item 7, slice 5a: the `report` ve	"PREREAD: open the PR diff; every claimed defect line must exist in the diff and be a defect; every ""proven"" claim must be visible; note if the PR head moved since."	Johnny	results/card-tools22-pre-1590-r5/RESULT.md
